Title,Bucket,Level,Domain,Practice ID,Parent,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Review MA Level 2 family package,L2 Maintenance,Level 2,MA,,Complete MA Level 2 family readiness,Review,High,Sulaiman Ahmad,Andy Volk,MA family evidence set; POA&M,L2;MA;Review,"Review the full Level 2 MA package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve MA Level 2 family package,L2 Maintenance,Level 2,MA,,Complete MA Level 2 family readiness,Approval,High,Ryan Lin,Joshua Hornback,MA family review complete,L2;MA;Approval;Executive,Approve the Level 2 MA package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate MA.L2-3.7.1 Perform Maintenance,L2 Maintenance,Level 2,MA,MA.L2-3.7.1,Complete MA Level 2 family readiness,Practice,High,Joshua Hornback,Andy Volk,MA Level 2 policy and procedure; SSP,L2;MA;Practice;MA.L2-3.7.1,Validate implementation of MA.L2-3.7.1 Perform Maintenance in the live CUI environment.,MA.L2-3.7.1 is implemented or a concrete gap is documented.
Collect evidence for MA.L2-3.7.1,L2 Maintenance,Level 2,MA,MA.L2-3.7.1,Complete MA Level 2 family readiness,Evidence,High,Joshua Hornback,Andy Volk,Validate MA.L2-3.7.1 Perform Maintenance; Level 2 evidence index,L2;MA;Evidence;MA.L2-3.7.1,Collect artifact and operational proof for MA.L2-3.7.1 Perform Maintenance.,"Evidence for MA.L2-3.7.1 is current, stored, and mapped in the evidence index."
Remediate MA.L2-3.7.1 gaps,L2 Maintenance,Level 2,MA,MA.L2-3.7.1,Complete MA Level 2 family readiness,Remediation,High,Joshua Hornback,Andy Volk,POA&M; evidence review for MA.L2-3.7.1,L2;MA;Remediation;MA.L2-3.7.1,"Close any documentation, implementation, or evidence gaps found for MA.L2-3.7.1 Perform Maintenance.",Gaps for MA.L2-3.7.1 are closed or formally tracked in the POA&M with owner and due date.
Validate MA.L2-3.7.2 System Maintenance Control,L2 Maintenance,Level 2,MA,MA.L2-3.7.2,Complete MA Level 2 family readiness,Practice,High,Joshua Hornback,Andy Volk,MA Level 2 policy and procedure; SSP,L2;MA;Practice;MA.L2-3.7.2,Validate implementation of MA.L2-3.7.2 System Maintenance Control in the live CUI environment.,MA.L2-3.7.2 is implemented or a concrete gap is documented.
Collect evidence for MA.L2-3.7.2,L2 Maintenance,Level 2,MA,MA.L2-3.7.2,Complete MA Level 2 family readiness,Evidence,High,Joshua Hornback,Andy Volk,Validate MA.L2-3.7.2 System Maintenance Control; Level 2 evidence index,L2;MA;Evidence;MA.L2-3.7.2,Collect artifact and operational proof for MA.L2-3.7.2 System Maintenance Control.,"Evidence for MA.L2-3.7.2 is current, stored, and mapped in the evidence index."
Remediate MA.L2-3.7.2 gaps,L2 Maintenance,Level 2,MA,MA.L2-3.7.2,Complete MA Level 2 family readiness,Remediation,High,Joshua Hornback,Andy Volk,POA&M; evidence review for MA.L2-3.7.2,L2;MA;Remediation;MA.L2-3.7.2,"Close any documentation, implementation, or evidence gaps found for MA.L2-3.7.2 System Maintenance Control.",Gaps for MA.L2-3.7.2 are closed or formally tracked in the POA&M with owner and due date.
Validate MA.L2-3.7.3 Equipment Sanitization,L2 Maintenance,Level 2,MA,MA.L2-3.7.3,Complete MA Level 2 family readiness,Practice,High,Joshua Hornback,Andy Volk,MA Level 2 policy and procedure; SSP,L2;MA;Practice;MA.L2-3.7.3,Validate implementation of MA.L2-3.7.3 Equipment Sanitization in the live CUI environment.,MA.L2-3.7.3 is implemented or a concrete gap is documented.
Collect evidence for MA.L2-3.7.3,L2 Maintenance,Level 2,MA,MA.L2-3.7.3,Complete MA Level 2 family readiness,Evidence,High,Joshua Hornback,Andy Volk,Validate MA.L2-3.7.3 Equipment Sanitization; Level 2 evidence index,L2;MA;Evidence;MA.L2-3.7.3,Collect artifact and operational proof for MA.L2-3.7.3 Equipment Sanitization.,"Evidence for MA.L2-3.7.3 is current, stored, and mapped in the evidence index."
Remediate MA.L2-3.7.3 gaps,L2 Maintenance,Level 2,MA,MA.L2-3.7.3,Complete MA Level 2 family readiness,Remediation,High,Joshua Hornback,Andy Volk,POA&M; evidence review for MA.L2-3.7.3,L2;MA;Remediation;MA.L2-3.7.3,"Close any documentation, implementation, or evidence gaps found for MA.L2-3.7.3 Equipment Sanitization.",Gaps for MA.L2-3.7.3 are closed or formally tracked in the POA&M with owner and due date.
Validate MA.L2-3.7.4 Media Inspection,L2 Maintenance,Level 2,MA,MA.L2-3.7.4,Complete MA Level 2 family readiness,Practice,High,Joshua Hornback,Andy Volk,MA Level 2 policy and procedure; SSP,L2;MA;Practice;MA.L2-3.7.4,Validate implementation of MA.L2-3.7.4 Media Inspection in the live CUI environment.,MA.L2-3.7.4 is implemented or a concrete gap is documented.
Collect evidence for MA.L2-3.7.4,L2 Maintenance,Level 2,MA,MA.L2-3.7.4,Complete MA Level 2 family readiness,Evidence,High,Joshua Hornback,Andy Volk,Validate MA.L2-3.7.4 Media Inspection; Level 2 evidence index,L2;MA;Evidence;MA.L2-3.7.4,Collect artifact and operational proof for MA.L2-3.7.4 Media Inspection.,"Evidence for MA.L2-3.7.4 is current, stored, and mapped in the evidence index."
Remediate MA.L2-3.7.4 gaps,L2 Maintenance,Level 2,MA,MA.L2-3.7.4,Complete MA Level 2 family readiness,Remediation,High,Joshua Hornback,Andy Volk,POA&M; evidence review for MA.L2-3.7.4,L2;MA;Remediation;MA.L2-3.7.4,"Close any documentation, implementation, or evidence gaps found for MA.L2-3.7.4 Media Inspection.",Gaps for MA.L2-3.7.4 are closed or formally tracked in the POA&M with owner and due date.
Validate MA.L2-3.7.5 Nonlocal Maintenance,L2 Maintenance,Level 2,MA,MA.L2-3.7.5,Complete MA Level 2 family readiness,Practice,High,Joshua Hornback,Andy Volk,MA Level 2 policy and procedure; SSP,L2;MA;Practice;MA.L2-3.7.5,Validate implementation of MA.L2-3.7.5 Nonlocal Maintenance in the live CUI environment.,MA.L2-3.7.5 is implemented or a concrete gap is documented.
Collect evidence for MA.L2-3.7.5,L2 Maintenance,Level 2,MA,MA.L2-3.7.5,Complete MA Level 2 family readiness,Evidence,High,Joshua Hornback,Andy Volk,Validate MA.L2-3.7.5 Nonlocal Maintenance; Level 2 evidence index,L2;MA;Evidence;MA.L2-3.7.5,Collect artifact and operational proof for MA.L2-3.7.5 Nonlocal Maintenance.,"Evidence for MA.L2-3.7.5 is current, stored, and mapped in the evidence index."
Remediate MA.L2-3.7.5 gaps,L2 Maintenance,Level 2,MA,MA.L2-3.7.5,Complete MA Level 2 family readiness,Remediation,High,Joshua Hornback,Andy Volk,POA&M; evidence review for MA.L2-3.7.5,L2;MA;Remediation;MA.L2-3.7.5,"Close any documentation, implementation, or evidence gaps found for MA.L2-3.7.5 Nonlocal Maintenance.",Gaps for MA.L2-3.7.5 are closed or formally tracked in the POA&M with owner and due date.
Validate MA.L2-3.7.6 Maintenance Personnel,L2 Maintenance,Level 2,MA,MA.L2-3.7.6,Complete MA Level 2 family readiness,Practice,High,Joshua Hornback,Andy Volk,MA Level 2 policy and procedure; SSP,L2;MA;Practice;MA.L2-3.7.6,Validate implementation of MA.L2-3.7.6 Maintenance Personnel in the live CUI environment.,MA.L2-3.7.6 is implemented or a concrete gap is documented.
Collect evidence for MA.L2-3.7.6,L2 Maintenance,Level 2,MA,MA.L2-3.7.6,Complete MA Level 2 family readiness,Evidence,High,Joshua Hornback,Andy Volk,Validate MA.L2-3.7.6 Maintenance Personnel; Level 2 evidence index,L2;MA;Evidence;MA.L2-3.7.6,Collect artifact and operational proof for MA.L2-3.7.6 Maintenance Personnel.,"Evidence for MA.L2-3.7.6 is current, stored, and mapped in the evidence index."
Remediate MA.L2-3.7.6 gaps,L2 Maintenance,Level 2,MA,MA.L2-3.7.6,Complete MA Level 2 family readiness,Remediation,High,Joshua Hornback,Andy Volk,POA&M; evidence review for MA.L2-3.7.6,L2;MA;Remediation;MA.L2-3.7.6,"Close any documentation, implementation, or evidence gaps found for MA.L2-3.7.6 Maintenance Personnel.",Gaps for MA.L2-3.7.6 are closed or formally tracked in the POA&M with owner and due date.
Complete MP Level 2 family readiness,L2 Media Protection,Level 2,MP,,,Epic,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Level 2 SSP; owner matrix; evidence index,L2;MP;Epic;Family,"Complete Level 2 MP documentation, implementation validation, evidence, review, and approval.",MP Level 2 family package is complete and traceable to all applicable practices.
Finalize MP Level 2 policy,L2 Media Protection,Level 2,MP,,Complete MP Level 2 family readiness,Policy,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,L2 gap register; SSP; existing templates,L2;MP;Policy,Create and tailor the Level 2 MP policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize MP Level 2 procedure,L2 Media Protection,Level 2,MP,,Complete MP Level 2 family readiness,Procedure,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,L2 gap register; SSP; existing templates,L2;MP;Procedure,Create and tailor the Level 2 MP procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate MP Level 2 family implementation,L2 Media Protection,Level 2,MP,,Complete MP Level 2 family readiness,Implementation,Critical,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP policy and procedure; SSP,L2;MP;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for MP.",Family-level implementation checks are complete and deficiencies are recorded.
Collect MP Level 2 family evidence set,L2 Media Protection,Level 2,MP,,Complete MP Level 2 family readiness,Evidence,Critical,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP implementation validation; Level 2 evidence index,L2;MP;Evidence,Assemble the baseline artifact and proof set for the Level 2 MP family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review MP Level 2 family package,L2 Media Protection,Level 2,MP,,Complete MP Level 2 family readiness,Review,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP family evidence set; POA&M,L2;MP;Review,"Review the full Level 2 MP package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve MP Level 2 family package,L2 Media Protection,Level 2,MP,,Complete MP Level 2 family readiness,Approval,High,Ryan Lin,Andy Volk,MP family review complete,L2;MP;Approval;Executive,Approve the Level 2 MP package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate MP.L2-3.8.1 Media Protection,L2 Media Protection,Level 2,MP,MP.L2-3.8.1,Complete MP Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP Level 2 policy and procedure; SSP,L2;MP;Practice;MP.L2-3.8.1,Validate implementation of MP.L2-3.8.1 Media Protection in the live CUI environment.,MP.L2-3.8.1 is implemented or a concrete gap is documented.
Collect evidence for MP.L2-3.8.1,L2 Media Protection,Level 2,MP,MP.L2-3.8.1,Complete MP Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Validate MP.L2-3.8.1 Media Protection; Level 2 evidence index,L2;MP;Evidence;MP.L2-3.8.1,Collect artifact and operational proof for MP.L2-3.8.1 Media Protection.,"Evidence for MP.L2-3.8.1 is current, stored, and mapped in the evidence index."
Remediate MP.L2-3.8.1 gaps,L2 Media Protection,Level 2,MP,MP.L2-3.8.1,Complete MP Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,POA&M; evidence review for MP.L2-3.8.1,L2;MP;Remediation;MP.L2-3.8.1,"Close any documentation, implementation, or evidence gaps found for MP.L2-3.8.1 Media Protection.",Gaps for MP.L2-3.8.1 are closed or formally tracked in the POA&M with owner and due date.
Validate MP.L2-3.8.2 Media Access,L2 Media Protection,Level 2,MP,MP.L2-3.8.2,Complete MP Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP Level 2 policy and procedure; SSP,L2;MP;Practice;MP.L2-3.8.2,Validate implementation of MP.L2-3.8.2 Media Access in the live CUI environment.,MP.L2-3.8.2 is implemented or a concrete gap is documented.
Collect evidence for MP.L2-3.8.2,L2 Media Protection,Level 2,MP,MP.L2-3.8.2,Complete MP Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Validate MP.L2-3.8.2 Media Access; Level 2 evidence index,L2;MP;Evidence;MP.L2-3.8.2,Collect artifact and operational proof for MP.L2-3.8.2 Media Access.,"Evidence for MP.L2-3.8.2 is current, stored, and mapped in the evidence index."
Remediate MP.L2-3.8.2 gaps,L2 Media Protection,Level 2,MP,MP.L2-3.8.2,Complete MP Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,POA&M; evidence review for MP.L2-3.8.2,L2;MP;Remediation;MP.L2-3.8.2,"Close any documentation, implementation, or evidence gaps found for MP.L2-3.8.2 Media Access.",Gaps for MP.L2-3.8.2 are closed or formally tracked in the POA&M with owner and due date.
Validate MP.L2-3.8.3 Media Disposal,L2 Media Protection,Level 2,MP,MP.L2-3.8.3,Complete MP Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP Level 2 policy and procedure; SSP,L2;MP;Practice;MP.L2-3.8.3,Validate implementation of MP.L2-3.8.3 Media Disposal in the live CUI environment.,MP.L2-3.8.3 is implemented or a concrete gap is documented.
Collect evidence for MP.L2-3.8.3,L2 Media Protection,Level 2,MP,MP.L2-3.8.3,Complete MP Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Validate MP.L2-3.8.3 Media Disposal; Level 2 evidence index,L2;MP;Evidence;MP.L2-3.8.3,Collect artifact and operational proof for MP.L2-3.8.3 Media Disposal.,"Evidence for MP.L2-3.8.3 is current, stored, and mapped in the evidence index."
Remediate MP.L2-3.8.3 gaps,L2 Media Protection,Level 2,MP,MP.L2-3.8.3,Complete MP Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,POA&M; evidence review for MP.L2-3.8.3,L2;MP;Remediation;MP.L2-3.8.3,"Close any documentation, implementation, or evidence gaps found for MP.L2-3.8.3 Media Disposal.",Gaps for MP.L2-3.8.3 are closed or formally tracked in the POA&M with owner and due date.
Validate MP.L2-3.8.4 Media Markings,L2 Media Protection,Level 2,MP,MP.L2-3.8.4,Complete MP Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP Level 2 policy and procedure; SSP,L2;MP;Practice;MP.L2-3.8.4,Validate implementation of MP.L2-3.8.4 Media Markings in the live CUI environment.,MP.L2-3.8.4 is implemented or a concrete gap is documented.
Collect evidence for MP.L2-3.8.4,L2 Media Protection,Level 2,MP,MP.L2-3.8.4,Complete MP Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Validate MP.L2-3.8.4 Media Markings; Level 2 evidence index,L2;MP;Evidence;MP.L2-3.8.4,Collect artifact and operational proof for MP.L2-3.8.4 Media Markings.,"Evidence for MP.L2-3.8.4 is current, stored, and mapped in the evidence index."
Remediate MP.L2-3.8.4 gaps,L2 Media Protection,Level 2,MP,MP.L2-3.8.4,Complete MP Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,POA&M; evidence review for MP.L2-3.8.4,L2;MP;Remediation;MP.L2-3.8.4,"Close any documentation, implementation, or evidence gaps found for MP.L2-3.8.4 Media Markings.",Gaps for MP.L2-3.8.4 are closed or formally tracked in the POA&M with owner and due date.
Validate MP.L2-3.8.5 Media Accountability,L2 Media Protection,Level 2,MP,MP.L2-3.8.5,Complete MP Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP Level 2 policy and procedure; SSP,L2;MP;Practice;MP.L2-3.8.5,Validate implementation of MP.L2-3.8.5 Media Accountability in the live CUI environment.,MP.L2-3.8.5 is implemented or a concrete gap is documented.
Collect evidence for MP.L2-3.8.5,L2 Media Protection,Level 2,MP,MP.L2-3.8.5,Complete MP Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Validate MP.L2-3.8.5 Media Accountability; Level 2 evidence index,L2;MP;Evidence;MP.L2-3.8.5,Collect artifact and operational proof for MP.L2-3.8.5 Media Accountability.,"Evidence for MP.L2-3.8.5 is current, stored, and mapped in the evidence index."
Remediate MP.L2-3.8.5 gaps,L2 Media Protection,Level 2,MP,MP.L2-3.8.5,Complete MP Level 2 family readiness,Remediation,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,POA&M; evidence review for MP.L2-3.8.5,L2;MP;Remediation;MP.L2-3.8.5,"Close any documentation, implementation, or evidence gaps found for MP.L2-3.8.5 Media Accountability.",Gaps for MP.L2-3.8.5 are closed or formally tracked in the POA&M with owner and due date.
Validate MP.L2-3.8.6 Portable Storage Encryption,L2 Media Protection,Level 2,MP,MP.L2-3.8.6,Complete MP Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,MP Level 2 policy and procedure; SSP,L2;MP;Practice;MP.L2-3.8.6,Validate implementation of MP.L2-3.8.6 Portable Storage Encryption in the live CUI environment.,MP.L2-3.8.6 is implemented or a concrete gap is documented.
Collect evidence for MP.L2-3.8.6,L2 Media Protection,Level 2,MP,MP.L2-3.8.6,Complete MP Level 2 family readiness,Evidence,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Validate MP.L2-3.8.6 Portable Storage Encryption; Level 2 evidence index,L2;MP;Evidence;MP.L2-3.8.6,Collect artifact and operational proof for MP.L2-3.8.6 Portable Storage Encryption.,"Evidence for MP.L2-3.8.6 is current, stored, and mapped in the evidence index."
